sample,condition
GSM1648803,ASD
GSM1648804,ASD
GSM1648805,ASD
GSM1648806,ASD
GSM1648807,ASD
GSM1648808,ASD
GSM1648809,ASD
GSM1648810,ASD
GSM1648811,ASD
GSM1648812,ASD
GSM1648813,ASD
GSM1648814,ASD
GSM1648815,ASD
GSM1648816,ASD
GSM1648817,ASD
GSM1648818,ASD
GSM1648819,ASD
GSM1648820,healthy control
GSM1648821,healthy control
GSM1648822,healthy control
GSM1648823,healthy control
GSM1648824,healthy control
GSM1648825,healthy control
GSM1648826,healthy control
GSM1648827,healthy control
GSM1648828,ASD
GSM1648829,ASD
GSM1648830,ASD
GSM1648831,ASD
GSM1648832,ASD
GSM1648833,ASD
GSM1648834,ASD
GSM1648835,ASD
GSM1648836,ASD
GSM1648837,ASD
GSM1648838,ASD
GSM1648839,ASD
GSM1648840,ASD
GSM1648841,ASD
GSM1648842,ASD
GSM1648843,ASD
GSM1648844,ASD
GSM1648845,ASD
GSM1648846,ASD
GSM1648847,ASD
GSM1648848,ASD
GSM1648849,healthy control
GSM1648850,healthy control
GSM1648851,healthy control
GSM1648852,healthy control
GSM1648853,healthy control
GSM1648854,healthy control
GSM1648855,healthy control
GSM1648856,healthy control
GSM1648857,healthy control
GSM1648858,ASD
GSM1648859,ASD
GSM1648860,ASD
GSM1648861,ASD
GSM1648862,ASD
GSM1648863,ASD
GSM1648864,ASD
GSM1648865,ASD
GSM1648866,ASD
GSM1648867,ASD
GSM1648868,ASD
GSM1648869,ASD
GSM1648870,ASD
GSM1648871,ASD
GSM1648872,ASD
GSM1648873,ASD
GSM1648874,ASD
GSM1648875,healthy control
GSM1648876,healthy control
GSM1648877,healthy control
GSM1648878,healthy control
GSM1648879,healthy control
GSM1648880,healthy control
GSM1648881,healthy control
GSM1648882,healthy control
GSM1648883,healthy control
GSM1648884,healthy control
GSM1648885,healthy control
