GeneID,GSM3528727,GSM3528728,GSM3528729,GSM3528730,GSM3528731,GSM3528732,GSM3528733,GSM3528734,GSM3528735,GSM3528736,GSM3528737,GSM3528738,GSM3528739,GSM3528740,GSM3528741,GSM3528742,GSM3528743,GSM3528744,GSM3528745,GSM3528746,GSM3528747,GSM3528748
ENSG00000000003,8714,4947,8290,18348,12362,3299,2085,1916,1617,4095,1826,2534,3200,8945,6793,2182,3981,14539,8954,3838,2640,3380
ENSG00000000005,19,36,12,203,236,3,9,5,5,3,11,13,21,7,156,120,6,43,28,58,4,11
ENSG00000000419,3654,1662,3011,3035,3421,1726,544,766,588,2222,954,842,1701,2109,2263,971,1117,1413,981,858,646,1169
ENSG00000000457,2056,1330,1751,2033,1751,726,438,486,408,666,336,482,654,1542,1303,625,746,1189,646,917,1025,803
ENSG00000000460,1265,503,1280,1284,1182,680,326,347,212,1091,249,342,514,725,789,376,509,529,338,640,500,360
ENSG00000000938,1,0,2,2,0,2,0,3,0,0,0,3,0,4,16,4,1,0,6,10,3,1
ENSG00000000971,74,77,58,110,52,49,30,47,22,175,29,150,226,109,182,76,64,283,105,1138,69,186
ENSG00000001036,890,654,610,1063,1176,668,542,257,224,1382,368,857,487,690,1417,761,1211,1798,903,1264,452,1096
ENSG00000001084,2720,1257,2171,1963,1783,1136,764,567,510,1001,450,1095,1253,2319,2056,1229,1396,1747,1125,1416,739,1168
ENSG00000001167,4644,3043,4907,4588,2977,2507,1432,1184,1137,1832,821,1459,2013,3261,3115,1166,1313,2286,1267,2161,1780,1532
ENSG00000001460,205,240,215,201,167,108,115,81,81,104,45,130,123,226,323,198,228,340,210,396,345,173
ENSG00000001461,1088,1227,956,897,751,387,404,183,256,258,218,581,266,1774,1279,1355,1008,1675,1079,1530,1422,2181
ENSG00000001497,3301,1471,2854,2976,2721,1356,835,762,638,2189,919,1136,1410,2961,1710,1285,1544,1486,916,1709,1109,1204
ENSG00000001561,1226,1039,827,963,876,580,477,177,218,447,302,741,418,4944,1389,596,850,2441,1478,615,850,1834
ENSG00000001617,187,184,184,182,111,34,67,42,31,6,28,27,85,39,70,79,4,12,3,72,38,29
ENSG00000001626,188,157,144,697,84,88,57,64,35,21,29,45,65,179,146,40,60,114,79,124,43,28
ENSG00000001629,9486,8363,8058,7488,5723,3305,2088,1791,2111,2990,1376,3116,3378,14023,9011,5529,6082,9402,6058,6580,5031,4866
ENSG00000001630,33341,13269,27104,19903,19402,15397,8699,6081,6380,14843,9197,5368,7746,23242,11463,9250,8816,17661,7995,5860,6697,6286
ENSG00000001631,8106,5739,6909,7551,5215,3460,1504,1910,1640,3475,1730,2342,2806,4651,4793,2046,2703,2935,1950,3913,2869,2459
ENSG00000002016,886,955,1121,897,950,335,230,263,252,296,151,265,413,1455,845,421,658,909,626,429,668,474
ENSG00000002330,289,58,159,245,208,24,44,15,40,152,47,113,108,412,279,188,260,332,191,283,180,224
ENSG00000002549,4488,1275,2712,2490,1732,2355,732,1209,991,3034,1044,2429,2469,13369,3800,2138,3370,2150,1829,3549,1230,2876
ENSG00000002586,4075,2001,3412,4786,1358,834,738,553,531,1831,273,2980,3239,20070,5540,1346,2792,11096,7407,3332,1829,4094
ENSG00000002587,243,371,187,254,189,105,30,129,55,87,32,201,90,1029,302,128,198,719,1088,233,71,238
ENSG00000002726,6,5,13,6,12,1,2,3,2,2,0,28,7,10,7,5,10,1,3,3,6,4
ENSG00000002745,32,20,21,26,17,12,3,18,6,5,3,10,14,35,65,48,11,17,235,17,8,8
ENSG00000002746,2582,2391,1897,2106,1061,775,554,592,556,124,513,138,246,511,977,819,393,197,211,2346,485,310
ENSG00000002822,2050,973,1707,1706,1636,427,369,324,426,1068,475,513,899,1305,1123,595,687,562,365,943,582,735
ENSG00000002834,4838,3042,3570,4772,3273,1346,2863,669,641,3962,804,1338,1224,3210,3073,1336,833,2166,1549,2423,2094,2108
ENSG00000002919,625,419,539,510,570,144,134,109,118,192,70,104,184,373,371,174,217,213,198,199,196,227
ENSG00000002933,126,101,82,44,54,100,11,93,46,1,12,20,11,49,64,52,20,24,28,26,17,6
ENSG00000003056,5960,2965,4606,5129,4078,2944,1570,1561,1248,3984,1263,2302,2721,6381,4490,2149,3271,2881,2285,3168,1878,3989
ENSG00000003096,4558,3397,2309,3794,3124,984,497,838,846,808,693,447,954,2372,1585,1210,1141,791,1132,761,1130,927
ENSG00000003137,2979,2725,2256,1251,34,87,12,126,255,5,7,24,1618,37,997,1246,106,40,6,132,11,106
ENSG00000003147,783,565,616,610,447,396,124,230,266,377,327,200,185,1017,446,624,280,207,143,224,194,286
ENSG00000003249,508,337,653,160,147,120,44,79,146,242,129,365,418,337,671,851,603,304,389,782,120,426
ENSG00000003393,7127,4785,5322,6594,5389,2225,2400,1449,1094,2570,1235,1479,2248,5777,3912,2130,2201,3283,2875,3390,2146,2365
ENSG00000003400,129,111,83,105,98,54,22,79,35,38,20,92,69,177,243,76,100,83,75,86,93,78
ENSG00000003402,3870,3815,2963,2997,3457,2788,1410,2585,1355,3074,941,2164,1644,5780,5079,3914,3295,2474,1916,3268,5301,4785
ENSG00000003436,3195,2459,2290,3036,2415,2667,655,2741,979,4426,639,3816,1869,3739,7482,2282,1665,8365,4567,3883,2195,3629
ENSG00000003509,2474,1652,1876,2056,1661,884,374,495,452,840,471,528,915,1465,1382,1049,839,1016,783,862,748,851
ENSG00000003756,20973,17795,16198,19833,18422,6670,4339,4425,4544,6661,3842,3971,6152,17401,11540,6052,7669,12286,7473,9272,10440,8291
ENSG00000003987,3819,2999,4100,2145,1598,1284,557,1040,1189,269,669,139,748,407,1516,1228,302,247,142,722,454,287
ENSG00000003989,1216,352,1431,526,274,1478,54,610,319,807,571,639,1666,3791,2621,158,1398,640,379,888,127,239
ENSG00000004059,1188,563,930,1305,936,329,290,188,256,610,273,322,360,976,623,423,438,586,323,732,400,467
ENSG00000004139,3957,1872,3588,3430,2806,1112,388,841,801,719,465,1247,1444,3412,2384,2088,2041,1427,1273,2045,1418,1617
