ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,200,0.668291471595875,2.65414136406978,1e-10,5e-09,3.05142431678157e-09,3284,"tags=54%, list=20%, signal=44%",5902/10575/5036/5478/22916/9136/5690/51690/4953/3329/4830/9184/3184/6732/3735/5688/6742/3068/3326/6633/4869/10921/8761/54107/4176/4175/8894/7555/5682/10728/3015/10856/6432/10492/3192/1973/26354/6427/6418/5250/6627/9221/6632/7332/2079/3336/5709/10528/4686/6634/1478/8886/55651/5687/1965/10576/10291/5704/7027/5496/1977/6741/11335/2739/57819/3837/1207/7458/10907/6599/3608/220988/2935/6059/6175/9188/708/1964/1537/9377/6723/8669/6150/6426/5093/3838/1019/6950/6187/5901/2058/4085/26156/7514/5887/7398/3615/8662/328/6146/5425/8664/3066/8318/7411/5683/4706/11331,
HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,57,0.673020986502121,2.20156433121561,0.000245411865153192,0.00175294189395138,0.00106979390422167,3698,"tags=67%, list=22%, signal=52%",79050/5036/9136/3329/4869/23481/54663/29078/27340/64216/26354/51388/92856/9221/3336/10528/8886/79077/11335/51154/80324/27346/23082/6723/6949/1019/10514/6832/83743/56915/4839/23160/10244/56342/51491/4609/23223/705,0.49849310876659
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,200,0.549600655375052,2.1827569184257,1.90333444374067e-08,4.75833610935167e-07,2.90394050229909e-07,3220,"tags=35%, list=19%, signal=29%",5902/5036/203068/5982/4830/3184/1026/993/7884/6749/1111/64858/7112/9837/4176/4175/3609/1434/1163/7465/3015/5631/10492/10797/5889/6427/29127/9221/8493/1164/10528/55646/4436/1965/10664/23649/898/7157/79077/6118/10606/3148/9972/79019/10248/204/2935/6119/6117/27338/57122/79677/3930/6426/3838/1019/3070/5901/4085/5395/7514/7398/3159/51155/6241/7283/24137/5425/55635/4292,0.73376198835648
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,87,-0.571584459918625,-2.04629511377961,3.83374977597259e-06,6.38958295995432e-05,3.89946576361954e-05,3945,"tags=56%, list=23%, signal=43%",103/55601/1267/129607/85441/9636/10161/23070/7453/6737/51667/91543/5696/961/684/716/9246/3433/5720/27074/55281/5698/64761/3430/3437/6890/3107/10379/5721/23424/3429/6773/64135/1435/3566/7318/85363/10544/54625/567/3959/8519/5610/9111/3431/841/83666/3665/10581,0.610526878385931
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,198,0.496219356793193,1.96109119956418,5.23283837922238e-06,6.54104797402798e-05,3.99190256903675e-05,2663,"tags=29%, list=16%, signal=25%",10432/4953/9184/3184/1810/993/6713/3312/1111/1736/1841/4211/8317/7112/4175/3609/1163/3015/10492/3192/6427/29127/9221/6632/1164/4082/4691/7150/10664/3091/23649/7027/6118/990/3837/5976/10721/6599/2935/387893/4088/81539/4853/5119/27338/3930/6426/3838/1019/1871/11044/4085/1870/7514/262/10926/5887/1874,0.610526878385931
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,199,0.483008587090433,1.92064673092259,1.65162892956459e-05,0.000165162892956459,0.000100796413559466,2623,"tags=32%, list=16%, signal=27%",26136/5478/10963/9521/9136/3329/516/31/1026/993/6713/10989/10652/5464/10682/1595/8894/8624/7323/10797/4860/26747/2232/3336/2542/56902/10452/7832/6509/7277/5718/9695/871/79602/5704/3156/2821/3422/5723/7494/10061/5052/1718/27346/2932/23760/26471/3145/60481/6117/3949/27230/3157/1717/5606/2058/4793/6510/8553/6319/908/80777/79071,0.575610261071129
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,151,0.457408465472072,1.76443561866169,0.000914227645283891,0.00571392278302432,0.00348712058486652,2613,"tags=26%, list=16%, signal=22%",6257/10963/1138/80273/10280/725/10038/10652/54107/3164/10105/2354/3192/7832/7062/7277/898/5471/10125/3175/3337/5437/10950/2288/467/9818/291/9188/2052/1875/6150/27161/409/2026/836/262/80777/2744/760,0.477270815362862
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,112,0.467233289768179,1.73195675243015,0.00592920590077288,0.0211757353599031,0.0129232307605879,2608,"tags=35%, list=16%, signal=30%",6734/9136/58477/1736/4869/1163/25804/4800/1973/10797/23404/9221/55033/10528/6509/50628/55651/7534/9695/1965/2521/468/1977/4189/7494/60559/467/55062/9531/5832/27230/9709/8815/22872/1974/9570/1978/64859/56915,0.407017918923954
HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,143,-0.44893972572278,-1.71963688915085,0.000114105248572295,0.000950877071435789,0.000580305883609842,4333,"tags=47%, list=26%, signal=35%",11030/10486/1278/23116/3488/2535/5999/8455/8829/4255/10401/27032/5797/25836/55109/5195/23469/8613/92/23266/6256/1739/3480/3778/23576/10659/1902/5332/3815/2534/7049/10370/11343/3667/5054/3915/4325/26037/2064/1027/1301/140609/2202/6334/4131/5578/1601/120/23345/6310/11099/6383/546/627/6717/8476/5002/302/307/136/3690/5376/2908/4363/10516/9863/7035,0.538434096309916
HALLMARK_COAGULATION,HALLMARK_COAGULATION,94,-0.466861845510881,-1.68693602065078,0.00143823081893745,0.00799017121631919,0.0048762805489449,3143,"tags=33%, list=19%, signal=27%",4324/4323/715/1191/716/10747/8609/2534/3920/6284/5054/928/842/2811/5328/4319/301/8309/726/1519/7018/22921/629/2157/5155/1515/2/3690/710/5627/4320,0.45505986738723
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,146,0.435839396800394,1.6807764908357,0.00227758424915093,0.0113103286145167,0.0069025223530253,2457,"tags=27%, list=15%, signal=24%",1603/22916/1716/5982/4830/5898/29927/5433/5434/4799/29901/6749/6883/6884/5980/5435/6924/10289/4860/64976/3059/10189/2067/2879/23649/5438/7157/10959/10134/6118/5437/6119/2068/5432/5893/53343/2967/5423/552900/6829,0.431707695803346
