ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-164940,Nef mediated downregulation of MHC class I complex cell surface expression,1/2,10/9665,0.1,483.25,21.9499515497744,0.00206835872592781,0.0179069556551772,0.0028559737887045,HLA-A,1
R-HSA-71384,Ethanol oxidation,1/2,10/9665,0.1,483.25,21.9499515497744,0.00206835872592781,0.0179069556551772,0.0028559737887045,ALDH1A1,1
R-HSA-1236977,Endosomal/Vacuolar pathway,1/2,10/9665,0.1,483.25,21.9499515497744,0.00206835872592781,0.0179069556551772,0.0028559737887045,HLA-A,1
R-HSA-9938206,Developmental Lineage of Mammary Stem Cells,1/2,14/9665,0.0714285714285714,345.178571428571,18.539548626206,0.00289510266099746,0.0179069556551772,0.0028559737887045,ALDH1A1,1
R-HSA-9927432,Developmental Lineage of Mammary Gland Myoepithelial Cells,1/2,17/9665,0.0588235294117647,284.264705882353,16.8165052732739,0.00351493577906203,0.0179069556551772,0.0028559737887045,ALDH1A1,1
R-HSA-164938,Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,1/2,20/9665,0.05,241.625,15.4968024720267,0.00413457618292246,0.0179069556551772,0.0028559737887045,HLA-A,1
R-HSA-5365859,RA biosynthesis pathway,1/2,20/9665,0.05,241.625,15.4968024720267,0.00413457618292246,0.0179069556551772,0.0028559737887045,ALDH1A1,1
R-HSA-9927418,Developmental Lineage of Mammary Gland Luminal Epithelial Cells,1/2,21/9665,0.0476190476190476,230.119047619048,15.1209720491794,0.00434108015883083,0.0179069556551772,0.0028559737887045,ALDH1A1,1
R-HSA-164952,The role of Nef in HIV-1 replication and disease pathogenesis,1/2,27/9665,0.037037037037037,178.981481481482,13.3229594854924,0.00557965434780328,0.0190938278351255,0.0030452675973087,HLA-A,1
R-HSA-983170,"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",1/2,28/9665,0.0357142857142857,172.589285714286,13.0808426412989,0.00578600843488653,0.0190938278351255,0.0030452675973087,HLA-A,1
R-HSA-9924644,Developmental Lineages of the Mammary Gland,1/2,33/9665,0.0303030303030303,146.439393939394,12.0397718656286,0.00681745767996045,0.0204523730398813,0.00326194147366529,ALDH1A1,1
R-HSA-5362517,Signaling by Retinoic Acid,1/2,38/9665,0.0263157894736842,127.171052631579,11.2109781838381,0.00784837160780172,0.0215830219214547,0.00344226824903584,ALDH1A1,1
R-HSA-909733,Interferon alpha/beta signaling,1/2,44/9665,0.0227272727272727,109.829545454545,10.408796429599,0.00908476170246264,0.0230613181677898,0.00367804117508609,HLA-A,1
R-HSA-9734779,Developmental Cell Lineages of the Integumentary System,1/2,53/9665,0.0188679245283019,91.1792452830189,9.47054820072993,0.0109379014879245,0.0257821963643935,0.00411199304057312,ALDH1A1,1
R-HSA-8866654,E3 ubiquitin ligases ubiquitinate target proteins,1/2,57/9665,0.0175438596491228,84.780701754386,9.12646080655371,0.0117609624404299,0.0258741173689458,0.00412665348787014,HLA-A,1
R-HSA-1236974,ER-Phagosome pathway,1/2,75/9665,0.0133333333333333,64.4333333333333,7.93371015833464,0.0154604970142144,0.0295729485358858,0.00471657871385738,HLA-A,1
R-HSA-8852135,Protein ubiquitination,1/2,77/9665,0.012987012987013,62.7597402597403,7.82752168508285,0.0158711281575149,0.0295729485358858,0.00471657871385738,HLA-A,1
R-HSA-877300,Interferon gamma signaling,1/2,82/9665,0.0121951219512195,58.9329268292683,7.57912589111951,0.016897331293703,0.0295729485358858,0.00471657871385738,HLA-A,1
R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,1/2,86/9665,0.0116279069767442,56.1918604651163,7.39608070815427,0.0177179083742457,0.0295729485358858,0.00471657871385738,HLA-A,1
R-HSA-1236975,Antigen processing-Cross presentation,1/2,87/9665,0.0114942528735632,55.5459770114943,7.35228619030294,0.017922999112658,0.0295729485358858,0.00471657871385738,HLA-A,1
R-HSA-211945,Phase I - Functionalization of compounds,1/2,93/9665,0.010752688172043,51.9623655913979,7.10439626137384,0.019153093876656,0.0300977189490308,0.00480027415455037,ALDH1A1,1
R-HSA-9705671,SARS-CoV-2 activates/modulates innate and adaptive immune responses,1/2,107/9665,0.00934579439252336,45.1635514018692,6.60860560326613,0.0220203172161446,0.0328093095092894,0.00523274473832366,HLA-A,1
R-HSA-9734767,Developmental Cell Lineages,1/2,114/9665,0.0087719298245614,42.390350877193,6.39535386805731,0.0234523550532235,0.0328093095092894,0.00523274473832366,ALDH1A1,1
R-HSA-162909,Host Interactions of HIV factors,1/2,116/9665,0.00862068965517241,41.6594827586207,6.33795813549659,0.0238613160067559,0.0328093095092894,0.00523274473832366,HLA-A,1
R-HSA-211859,Biological oxidations,1/2,176/9665,0.00568181818181818,27.4573863636364,5.09601290081302,0.036090317010583,0.0476392184539695,0.0075979614759122,ALDH1A1,1
R-HSA-9705683,SARS-CoV-2-host interactions,1/2,184/9665,0.00543478260869565,26.2635869565217,4.97753496230101,0.0377150262262617,0.0478690717487167,0.00763462069357524,HLA-A,1
