ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-164940,Nef mediated downregulation of MHC class I complex cell surface expression,1/3,10/9665,0.1,322.166666666667,17.9044051460829,0.00310109353010279,0.0438120593059871,0.0127221950797785,HLA-A,1
R-HSA-1236977,Endosomal/Vacuolar pathway,1/3,10/9665,0.1,322.166666666667,17.9044051460829,0.00310109353010279,0.0438120593059871,0.0127221950797785,HLA-A,1
R-HSA-164938,Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,1/3,20/9665,0.05,161.083333333333,12.6274475150638,0.00619576923646115,0.0438120593059871,0.0127221950797785,HLA-A,1
R-HSA-164952,The role of Nef in HIV-1 replication and disease pathogenesis,1/3,27/9665,0.037037037037037,119.320987654321,10.8481524236172,0.00835822718570201,0.0438120593059871,0.0127221950797785,HLA-A,1
R-HSA-983170,"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",1/3,28/9665,0.0357142857142857,115.059523809524,10.6498921978191,0.00866689343579985,0.0438120593059871,0.0127221950797785,HLA-A,1
R-HSA-9029569,NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux,1/3,33/9665,0.0303030303030303,97.6262626262626,9.79714388534627,0.0102092639406007,0.0438120593059871,0.0127221950797785,RXRB,1
R-HSA-5362517,Signaling by Retinoic Acid,1/3,38/9665,0.0263157894736842,84.7807017543859,9.11792210240827,0.0117500338119726,0.0438120593059871,0.0127221950797785,RXRB,1
R-HSA-9024446,NR1H2 and NR1H3-mediated signaling,1/3,42/9665,0.0238095238095238,76.7063492063492,8.66377724122359,0.0129814978114206,0.0438120593059871,0.0127221950797785,RXRB,1
R-HSA-909733,Interferon alpha/beta signaling,1/3,44/9665,0.0227272727272727,73.219696969697,8.46013833001352,0.0135968459915132,0.0438120593059871,0.0127221950797785,HLA-A,1
R-HSA-383280,Nuclear Receptor transcription pathway,1/3,51/9665,0.0196078431372549,63.1699346405229,7.84366454002879,0.015748550476206,0.0456580196479093,0.01325822712099,RXRB,1
R-HSA-8866654,E3 ubiquitin ligases ubiquitinate target proteins,1/3,57/9665,0.0175438596491228,56.5204678362573,7.40763575141899,0.0175903761981551,0.0456580196479093,0.01325822712099,HLA-A,1
R-HSA-1236974,ER-Phagosome pathway,1/3,75/9665,0.0133333333333333,42.9555555555556,6.42711951271588,0.0231020640973083,0.0456580196479093,0.01325822712099,HLA-A,1
R-HSA-8852135,Protein ubiquitination,1/3,77/9665,0.012987012987013,41.8398268398268,6.33973074520228,0.02371319823222,0.0456580196479093,0.01325822712099,HLA-A,1
R-HSA-3000171,Non-integrin membrane-ECM interactions,1/3,79/9665,0.0126582278481013,40.7805907172996,6.25563833805544,0.0243240774358027,0.0456580196479093,0.01325822712099,DDR1,1
R-HSA-877300,Interferon gamma signaling,1/3,82/9665,0.0121951219512195,39.2886178861789,6.1352384049161,0.0252399183612722,0.0456580196479093,0.01325822712099,HLA-A,1
R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,1/3,86/9665,0.0116279069767442,37.4612403100775,5.98447625964649,0.0264601478319522,0.0456580196479093,0.01325822712099,HLA-A,1
R-HSA-1236975,Antigen processing-Cross presentation,1/3,87/9665,0.0114942528735632,37.0306513409962,5.94839629560571,0.0267650460004986,0.0456580196479093,0.01325822712099,HLA-A,1
R-HSA-9705671,SARS-CoV-2 activates/modulates innate and adaptive immune responses,1/3,107/9665,0.00934579439252336,30.1090342679128,5.33508993130771,0.0328496482787416,0.049133491686889,0.0142674386023634,HLA-A,1
R-HSA-1989781,PPARA activates gene expression,1/3,111/9665,0.00900900900900901,29.024024024024,5.23244821613061,0.0340635174294847,0.049133491686889,0.0142674386023634,RXRB,1
R-HSA-400206,Regulation of lipid metabolism by PPARalpha,1/3,113/9665,0.00884955752212389,28.5103244837758,5.18314488856287,0.0346700709374305,0.049133491686889,0.0142674386023634,RXRB,1
R-HSA-162909,Host Interactions of HIV factors,1/3,116/9665,0.00862068965517241,27.7729885057471,5.11154832385503,0.0355794250146437,0.049133491686889,0.0142674386023634,HLA-A,1
