Gene_ID,metafc,metap,Gene_Symbol,Gene_Description
ENSG00000000003,-0.186038054866041,0.645625653566604,TSPAN6,tetraspanin 6
ENSG00000000005,-0.66979502288005,0.782505505534352,TNMD,tenomodulin
ENSG00000000419,-0.0297638937635778,0.82462883129172,DPM1,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic"
ENSG00000000457,-0.051155767723067,0.640138176925164,SCYL3,SCY1 like pseudokinase 3
ENSG00000000460,-0.071695612129821,0.316194042822622,FIRRM,FIGNL1 interacting regulator of recombination and mitosis
ENSG00000000971,-0.358713621571228,0.87807986249093,CFH,complement factor H
ENSG00000001036,-0.223867153670682,0.790186916713964,FUCA2,alpha-L-fucosidase 2
ENSG00000001084,0.0484235238634305,0.758769816158725,GCLC,glutamate-cysteine ligase catalytic subunit
ENSG00000001167,0.088631397669633,0.673903384433252,NFYA,nuclear transcription factor Y subunit alpha
ENSG00000001460,-0.086110270053782,0.975112350025158,STPG1,sperm tail PG-rich repeat containing 1
ENSG00000001461,-0.174421091049121,0.803057344869585,NIPAL3,NIPA like domain containing 3
ENSG00000001497,-0.0138126998892555,0.956750366091996,LAS1L,LAS1 like ribosome biogenesis factor
ENSG00000001561,0.0793094091641415,0.9183409633886,ENPP4,ectonucleotide pyrophosphatase/phosphodiesterase 4
ENSG00000001617,0.178991931256793,0.980969469117981,SEMA3F,semaphorin 3F
ENSG00000001626,-0.0806493631039635,0.993667034520024,CFTR,CF transmembrane conductance regulator
ENSG00000001629,0.0651968114297901,0.942233441331821,ANKIB1,ankyrin repeat and IBR domain containing 1
ENSG00000001630,0.119284596920274,0.650312011495279,CYP51A1,cytochrome P450 family 51 subfamily A member 1
ENSG00000001631,-0.0749534473073415,0.875603580026075,KRIT1,KRIT1 ankyrin repeat containing
ENSG00000002016,0.11317870652363,0.887406129847426,RAD52,"RAD52 homolog, DNA repair protein"
ENSG00000002330,-0.127009451956563,0.944067166954495,BAD,BCL2 associated agonist of cell death
ENSG00000002549,0.16429959614588,0.870463938825499,LAP3,leucine aminopeptidase 3
ENSG00000002586,0.140304446373135,0.181879263964935,CD99,CD99 molecule (Xg blood group)
ENSG00000002587,0.116930766334376,0.983545707076532,HS3ST1,heparan sulfate-glucosamine 3-sulfotransferase 1
ENSG00000002726,0.0956222098407588,,AOC1,amine oxidase copper containing 1
ENSG00000002745,0.0536276218709884,,WNT16,Wnt family member 16
ENSG00000002746,-0.025013494491077,0.316529601359561,HECW1,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1"
ENSG00000002822,-0.0105565136193457,0.999440012264717,MAD1L1,mitotic arrest deficient 1 like 1
ENSG00000002834,-0.0243008729950721,0.981235170377513,LASP1,LIM and SH3 protein 1
ENSG00000002919,0.0401048270971754,0.981929287819212,SNX11,sorting nexin 11
ENSG00000002933,0.0137671557223805,0.751473408010551,TMEM176A,transmembrane protein 176A
ENSG00000003056,-0.00486530038232498,0.999619793401714,M6PR,"mannose-6-phosphate receptor, cation dependent"
ENSG00000003096,-0.0138558879279511,0.982266421117464,KLHL13,kelch like family member 13
ENSG00000003137,1.48377412539915,0.0189533207083871,CYP26B1,cytochrome P450 family 26 subfamily B member 1
ENSG00000003147,0.0545955288435507,0.947904149807961,ICA1,islet cell autoantigen 1
ENSG00000003249,0.087361992588945,0.518048743309096,DBNDD1,dysbindin domain containing 1
ENSG00000003393,-0.0034597186910176,0.997914030870994,ALS2,alsin Rho guanine nucleotide exchange factor ALS2
ENSG00000003400,0.184183207434948,0.832240679230225,CASP10,caspase 10
ENSG00000003402,-0.226398531783862,0.281612572829587,CFLAR,CASP8 and FADD like apoptosis regulator
ENSG00000003436,-0.313865952695634,0.356718392581106,TFPI,tissue factor pathway inhibitor
ENSG00000003509,-0.095628771589545,0.649650959993122,NDUFAF7,NADH:ubiquinone oxidoreductase complex assembly factor 7
ENSG00000003756,-0.0985758141945985,0.814474975837368,RBM5,RNA binding motif protein 5
ENSG00000003987,0.0221552712780009,0.963895320454374,MTMR7,myotubularin related protein 7
ENSG00000003989,0.122071302395842,0.653070388335941,SLC7A2,solute carrier family 7 member 2
ENSG00000004059,-0.0885491114461097,0.893777085567053,ARF5,ADP ribosylation factor 5
ENSG00000004139,0.0257841387602462,0.984836737082565,SARM1,sterile alpha and TIR motif containing 1
ENSG00000004142,-0.0155543404779037,0.996332943689069,POLDIP2,DNA polymerase delta interacting protein 2
ENSG00000004399,0.162379098752731,0.760838468704955,PLXND1,plexin D1
ENSG00000004455,0.022368972021721,0.899407628576108,AK2,adenylate kinase 2
ENSG00000004468,0.469928734602209,0.495848718400718,CD38,CD38 molecule
ENSG00000004478,0.173692098236558,0.582803802989409,FKBP4,FKBP prolyl isomerase 4
ENSG00000004487,0.0137340433795964,0.965854029366762,KDM1A,lysine demethylase 1A
ENSG00000004534,-0.0598757825007119,0.935647899729821,RBM6,RNA binding motif protein 6
ENSG00000004660,0.0474463268572853,0.993468829289648,CAMKK1,calcium/calmodulin dependent protein kinase kinase 1
ENSG00000004700,0.0559832988627042,0.78800454902336,RECQL,RecQ like helicase
ENSG00000004766,-0.0559826782521865,0.852024509474111,VPS50,VPS50 subunit of EARP/GARPII complex
ENSG00000004776,-0.0650972291698563,,HSPB6,heat shock protein family B (small) member 6
ENSG00000004777,-0.0319214303103201,0.990410144963972,ARHGAP33,Rho GTPase activating protein 33
ENSG00000004779,0.0774022191902508,0.941188868885095,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1
ENSG00000004799,-0.736327817290801,0.155882617751611,PDK4,pyruvate dehydrogenase kinase 4
ENSG00000004809,0.153328884671381,0.833108249372572,SLC22A16,solute carrier family 22 member 16
ENSG00000004838,-0.315826185283899,0.763514013033941,ZMYND10,zinc finger MYND-type containing 10
ENSG00000004846,0.406399071369597,0.650245548386274,ABCB5,ATP binding cassette subfamily B member 5
ENSG00000004848,-0.65650482776749,0.0164023767368085,ARX,aristaless related homeobox
ENSG00000004864,0.0748498770269488,0.865418692904065,SLC25A13,solute carrier family 25 member 13
ENSG00000004866,-0.134779933693705,0.779428046865894,ST7,suppression of tumorigenicity 7
ENSG00000004897,-0.0108100853922535,0.975911564541239,CDC27,cell division cycle 27
ENSG00000004939,0.207310562952667,0.724892033172343,SLC4A1,solute carrier family 4 member 1 (Diego blood group)
ENSG00000004948,-0.774618797535833,,CALCR,calcitonin receptor
ENSG00000004961,0.0309054157032801,0.964038012691332,HCCS,holocytochrome c synthase
ENSG00000004975,-0.0420779310530427,0.803304301669994,DVL2,dishevelled segment polarity protein 2
ENSG00000005007,0.0321721460809322,0.897193332391438,UPF1,UPF1 RNA helicase and ATPase
ENSG00000005020,-0.367053173044073,0.380455405652846,SKAP2,src kinase associated phosphoprotein 2
ENSG00000005022,0.0554860415675639,0.966260613557495,SLC25A5,solute carrier family 25 member 5
ENSG00000005059,-0.0451229785667452,0.989497624739932,MCUB,mitochondrial calcium uniporter dominant negative subunit beta
ENSG00000005075,-0.034403976884429,0.754366767633134,POLR2J,RNA polymerase II subunit J
ENSG00000005100,0.231406584355277,0.495048511810058,DHX33,DEAH-box helicase 33
ENSG00000005102,-0.172209333860084,,MEOX1,mesenchyme homeobox 1
ENSG00000005108,-0.238903025842513,0.563971797435189,THSD7A,thrombospondin type 1 domain containing 7A
ENSG00000005156,-0.0335470811851739,0.980019798187331,LIG3,DNA ligase 3
ENSG00000005175,0.0341326762216565,0.98736235642763,RPAP3,RNA polymerase II associated protein 3
ENSG00000005187,0.130251961403811,0.851126443811904,ACSM3,acyl-CoA synthetase medium chain family member 3
ENSG00000005189,0.119501946188179,0.618796596340757,REXO5,RNA exonuclease 5
ENSG00000005194,-0.0391199837892658,0.980587081589362,CIAPIN1,cytokine induced apoptosis inhibitor 1
ENSG00000005206,0.0765677490143236,0.908885439908925,SPPL2B,signal peptide peptidase like 2B
ENSG00000005238,-0.00544164955914305,0.9872935475479,ATOSB,atos homolog B
ENSG00000005243,-0.358012615621976,0.796145165857089,COPZ2,COPI coat complex subunit zeta 2
ENSG00000005249,0.0626356415787415,0.439034554952783,PRKAR2B,protein kinase cAMP-dependent type II regulatory subunit beta
ENSG00000005302,-0.0160328243865204,0.954075305624931,MSL3,MSL complex subunit 3
ENSG00000005339,0.0573032888629477,0.964506231648096,CREBBP,CREB binding protein
ENSG00000005379,-0.190728710719263,0.911953003292584,TSPOAP1,TSPO associated protein 1
ENSG00000005421,0.138204734745116,,PON1,paraoxonase 1
ENSG00000005436,-0.107664035861176,0.902958199336709,GCFC2,GC-rich sequence DNA-binding factor 2
ENSG00000005448,-0.0965875948476051,0.913253675335266,WDR54,WD repeat domain 54
ENSG00000005469,-0.164693313016624,0.739443647903098,CROT,carnitine O-octanoyltransferase
ENSG00000005471,0.102121787096841,0.98330730686704,ABCB4,ATP binding cassette subfamily B member 4
ENSG00000005483,-0.0427997991699339,0.669367110390527,KMT2E,lysine methyltransferase 2E (inactive)
ENSG00000005486,-0.0521309341542058,0.993863920457821,RHBDD2,rhomboid domain containing 2
ENSG00000005513,0.421359477147134,0.729459969731675,SOX8,SRY-box transcription factor 8
ENSG00000005700,-0.0289623772710483,0.985524179186066,IBTK,inhibitor of Bruton tyrosine kinase
ENSG00000005801,0.0078877963463536,0.905284518740772,ZNF195,zinc finger protein 195
ENSG00000005810,-0.0478890908599675,0.901114382518832,MYCBP2,MYC binding protein 2
ENSG00000005812,0.0116791084251956,0.921503937467408,FBXL3,F-box and leucine rich repeat protein 3
ENSG00000005844,0.110584943044809,0.869085376546611,ITGAL,integrin subunit alpha L
ENSG00000005882,-0.0748938714081845,0.759100043918589,PDK2,pyruvate dehydrogenase kinase 2
ENSG00000005884,0.191509618434464,0.794297036060002,ITGA3,integrin subunit alpha 3
ENSG00000005889,-0.159289275032744,0.232915320737339,ZFX,zinc finger protein X-linked
ENSG00000005893,-0.0440281718193224,0.946328546133521,LAMP2,lysosomal associated membrane protein 2
ENSG00000005961,-0.0589650128633214,0.959340391132396,ITGA2B,integrin subunit alpha 2b
