Gene_ID,Gene_Symbol,Gene_Description,log2FoldChange,adjusted.P.Value,Regulation
ENSG00000053438,NNAT,neuronatin,-1.06358518350829,0.00908939156517016,DOWN
ENSG00000137310,TCF19,transcription factor 19,-1.39747668973157,0.0209392632968486,DOWN
ENSG00000165092,ALDH1A1,aldehyde dehydrogenase 1 family member A1,-1.08258965605744,8.94164769843298e-05,DOWN
ENSG00000168497,CAVIN2,caveolae associated protein 2,-1.15026914627626,0.00241151953797046,DOWN
ENSG00000185404,SP140L,SP140 nuclear body protein like,-1.41874822972395,0.00765317860939729,DOWN
ENSG00000187627,RGPD1,RANBP2 like and GRIP domain containing 1,-1.0537276509528,0.000102042280692094,DOWN
ENSG00000203623,C6orf47,chromosome 6 open reading frame 47,1.51557578785373,4.4245986464509e-05,UP
ENSG00000204310,AGPAT1,1-acylglycerol-3-phosphate O-acyltransferase 1,-1.12190264043932,0.0112026522047169,DOWN
ENSG00000204435,CSNK2B,casein kinase 2 beta,-1.24762786359862,0.00332644018637365,DOWN
ENSG00000204469,PRRC2A,proline rich coiled-coil 2A,-1.10025685102234,7.28603432010151e-06,DOWN
ENSG00000206287,RING1,ring finger protein 1,2.49632366681343,0.0304601012802093,UP
ENSG00000206450,HLA-B,"major histocompatibility complex, class I, B",1.24668487412892,0.0474072013256396,UP
ENSG00000206501,PPP1R11,protein phosphatase 1 regulatory inhibitor subunit 11,1.68479789668057,0.000257262315136912,UP
ENSG00000206505,HLA-A,"major histocompatibility complex, class I, A",1.77940242883498,1.93286606076708e-07,UP
ENSG00000213722,DDAH2,"DDAH family member 2, ADMA-independent",-1.5493013264053,0.000106468096641408,DOWN
ENSG00000224320,HLA-A,"major histocompatibility complex, class I, A",-1.37764833494379,3.65005632515171e-05,DOWN
ENSG00000225748,PRRC2A,proline rich coiled-coil 2A,1.67433471539948,3.69223106744669e-09,UP
ENSG00000226103,C6orf47,chromosome 6 open reading frame 47,1.51522005844088,4.44115270698285e-05,UP
ENSG00000226531,C6orf47,chromosome 6 open reading frame 47,1.51544201613375,4.42427072397339e-05,UP
ENSG00000227739,TUBB,tubulin beta class I,2.54764671991266,0.000775789459008442,UP
ENSG00000227780,ZBTB22,zinc finger and BTB domain containing 22,-1.03872531814304,0.0458518351657596,DOWN
ENSG00000227801,COL11A2,collagen type XI alpha 2 chain,-1.45526420494666,0.00303263415384312,DOWN
ENSG00000228875,CSNK2B,casein kinase 2 beta,-1.2880128679616,0.00349285585072638,DOWN
ENSG00000229215,HLA-A,"major histocompatibility complex, class I, A",-1.37739117849874,3.66172550271543e-05,DOWN
ENSG00000229253,ZBTB22,zinc finger and BTB domain containing 22,-1.03880578735232,0.0458320663452336,DOWN
ENSG00000230456,DDR1,discoidin domain receptor tyrosine kinase 1,3.12289145699741,7.07226336086301e-17,UP
ENSG00000230685,CLIC1,chloride intracellular channel 1,-1.0857902617747,1.32779218803541e-07,DOWN
ENSG00000230985,VARS2,"valyl-tRNA synthetase 2, mitochondrial",1.45011736054787,0.00321074742273938,UP
ENSG00000231002,TRIM26,tripartite motif containing 26,1.40958728063493,0.0445282976432649,UP
ENSG00000232569,GABBR1,gamma-aminobutyric acid type B receptor subunit 1,-2.76444326298921,0.0314633521693732,DOWN
ENSG00000232960,CSNK2B,casein kinase 2 beta,-1.25524433703252,0.00548802727225609,DOWN
ENSG00000235107,RING1,ring finger protein 1,2.49654049342636,0.0307287129677744,UP
ENSG00000235712,RXRB,retinoid X receptor beta,1.88978429247943,2.11321462241583e-10,UP
ENSG00000277150,F8A3,coagulation factor VIII associated 3,3.33424092180273,2.85619824830326e-32,UP
