Gene_ID,randomSummary,randomP,randomCi.lb,randomCi.ub,Gene_Symbol,Gene_Description
ENSG00000000003,-0.134808410382484,0.229099935137114,-0.354500674575855,0.0848838538108876,TSPAN6,tetraspanin 6
ENSG00000000005,-0.467351814779301,0.245239069513457,-1.25564761540759,0.320943985848992,TNMD,tenomodulin
ENSG00000000419,0.0395631536630168,0.401359563615791,-0.0528376615316712,0.131963968857705,DPM1,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic"
ENSG00000000457,-0.0415964865389606,0.662689250438712,-0.228499290274955,0.145306317197034,SCYL3,SCY1 like pseudokinase 3
ENSG00000000460,-0.0484001428665556,0.796193880819489,-0.415691429205249,0.318891143472138,FIRRM,FIGNL1 interacting regulator of recombination and mitosis
ENSG00000000971,-0.277674351457348,0.4085046380036,-0.936129629857951,0.380780926943256,CFH,complement factor H
ENSG00000001036,-0.15160611123458,0.265774295526911,-0.418617309471216,0.115405087002056,FUCA2,alpha-L-fucosidase 2
ENSG00000001084,0.0326087368079224,0.783529361512885,-0.20003301946959,0.265250493085435,GCLC,glutamate-cysteine ligase catalytic subunit
ENSG00000001167,0.117160008353543,0.059854655990068,-0.00486238636907926,0.239182403076166,NFYA,nuclear transcription factor Y subunit alpha
ENSG00000001460,-0.0336421722727529,0.619642213693835,-0.166484826441955,0.0992004818964495,STPG1,sperm tail PG-rich repeat containing 1
ENSG00000001461,-0.0955015057566891,0.104533803178309,-0.210812357863392,0.0198093463500142,NIPAL3,NIPA like domain containing 3
ENSG00000001497,0.0170315550428763,0.586589771966041,-0.0443553254271761,0.0784184355129287,LAS1L,LAS1 like ribosome biogenesis factor
ENSG00000001561,0.0886230248983791,0.210136465599887,-0.0499815744445139,0.227227624241272,ENPP4,ectonucleotide pyrophosphatase/phosphodiesterase 4
ENSG00000001617,0.0295534611831841,0.771176940265191,-0.169609533990281,0.228716456356649,SEMA3F,semaphorin 3F
ENSG00000001626,-0.0223090896603301,0.777715731256385,-0.17719915671137,0.13258097739071,CFTR,CF transmembrane conductance regulator
ENSG00000001629,0.0265576859857701,0.450444682913839,-0.0424152962043108,0.095530668175851,ANKIB1,ankyrin repeat and IBR domain containing 1
ENSG00000001630,0.142454584967227,0.0325821090338422,0.0118133402683716,0.273095829666082,CYP51A1,cytochrome P450 family 51 subfamily A member 1
ENSG00000001631,-0.0427702483012822,0.330124535546618,-0.12884820875603,0.0433077121534659,KRIT1,KRIT1 ankyrin repeat containing
ENSG00000002016,0.0883740633276634,0.222245452984036,-0.0535339804155384,0.230282107070865,RAD52,"RAD52 homolog, DNA repair protein"
ENSG00000002330,-0.037995155733006,0.414701959265433,-0.129295829616399,0.0533055181503864,BAD,BCL2 associated agonist of cell death
ENSG00000002549,0.100280613964848,0.569782746256158,-0.245525598658296,0.446086826587992,LAP3,leucine aminopeptidase 3
ENSG00000002586,0.116125637491064,0.730641240504715,-0.544984265403136,0.777235540385265,CD99,CD99 molecule (Xg blood group)
ENSG00000002587,0.102255380553454,0.532071282550113,-0.218489964386676,0.423000725493584,HS3ST1,heparan sulfate-glucosamine 3-sulfotransferase 1
ENSG00000002726,,,,,AOC1,amine oxidase copper containing 1
ENSG00000002745,,,,,WNT16,Wnt family member 16
ENSG00000002746,0.0384792389048366,0.916930285211457,-0.684598593007718,0.761557070817391,HECW1,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1"
ENSG00000002822,-0.00230648255978209,0.961351494350601,-0.0955966093190006,0.0909836441994364,MAD1L1,mitotic arrest deficient 1 like 1
ENSG00000002834,0.0236578682088848,0.582047192419443,-0.0605878312971867,0.107903567714956,LASP1,LIM and SH3 protein 1
ENSG00000002919,0.0248333630957342,0.540548258054831,-0.0546989237069261,0.104365649898394,SNX11,sorting nexin 11
ENSG00000002933,-0.0795971538142119,0.794678050422364,-0.679071053665877,0.519876746037454,TMEM176A,transmembrane protein 176A
ENSG00000003056,-0.00628512034293156,0.896231416360633,-0.100736001050189,0.0881657603643255,M6PR,"mannose-6-phosphate receptor, cation dependent"
ENSG00000003096,-0.0416322950572418,0.544152846687936,-0.176161119948659,0.0928965298341753,KLHL13,kelch like family member 13
ENSG00000003137,1.34228719100349,0.0570675821979016,-0.0403302434821753,2.72490462548916,CYP26B1,cytochrome P450 family 26 subfamily B member 1
ENSG00000003147,-0.0426210447625114,0.695583015764982,-0.256109120456437,0.170867030931414,ICA1,islet cell autoantigen 1
ENSG00000003249,-0.0100700314533583,0.964739205360422,-0.456533004632789,0.436392941726072,DBNDD1,dysbindin domain containing 1
ENSG00000003393,-0.00924899968187638,0.792220506349699,-0.0780635825670709,0.0595655832033182,ALS2,alsin Rho guanine nucleotide exchange factor ALS2
ENSG00000003400,0.116698097849354,0.172057212028385,-0.0507888361715923,0.2841850318703,CASP10,caspase 10
ENSG00000003402,-0.255113855951442,0.00237820141033096,-0.419677521243737,-0.0905501906591463,CFLAR,CASP8 and FADD like apoptosis regulator
ENSG00000003436,-0.34249490002677,0.00447484558491645,-0.578644832012143,-0.106344968041397,TFPI,tissue factor pathway inhibitor
ENSG00000003509,-0.0987979685185618,0.0287439895268526,-0.18734037250759,-0.0102555645295338,NDUFAF7,NADH:ubiquinone oxidoreductase complex assembly factor 7
ENSG00000003756,-0.06443564802144,0.296686470774232,-0.185454934128264,0.0565836380853835,RBM5,RNA binding motif protein 5
ENSG00000003987,-0.0298708178540654,0.59323417550257,-0.139475160160285,0.0797335244521547,MTMR7,myotubularin related protein 7
ENSG00000003989,0.0323813689277806,0.952729633036179,-1.03825030722307,1.10301304507864,SLC7A2,solute carrier family 7 member 2
ENSG00000004059,-0.0544003075191719,0.560363171527695,-0.237505662436827,0.128705047398483,ARF5,ADP ribosylation factor 5
ENSG00000004139,-0.00702846167112934,0.916406062027081,-0.138271657619886,0.124214734277628,SARM1,sterile alpha and TIR motif containing 1
ENSG00000004142,0.00107992040275912,0.972814427190152,-0.0610294826936418,0.06318932349916,POLDIP2,DNA polymerase delta interacting protein 2
ENSG00000004399,0.117806272387686,0.694939596262416,-0.470973132891279,0.706585677666651,PLXND1,plexin D1
ENSG00000004455,0.043785099614523,0.187284656204892,-0.021294282864429,0.108864482093475,AK2,adenylate kinase 2
ENSG00000004468,0.417061166267196,0.505749825697345,-0.811280717613173,1.64540305014756,CD38,CD38 molecule
ENSG00000004478,0.150313572915851,0.199437425175563,-0.0792837540404781,0.37991089987218,FKBP4,FKBP prolyl isomerase 4
ENSG00000004487,0.0269070804639238,0.369449222728588,-0.0318523441272749,0.0856665050551225,KDM1A,lysine demethylase 1A
ENSG00000004534,-0.0250477278975659,0.685070117321264,-0.146098460804528,0.096003005009396,RBM6,RNA binding motif protein 6
ENSG00000004660,0.0179619805380001,0.74595003709135,-0.0907002345118374,0.126624195587838,CAMKK1,calcium/calmodulin dependent protein kinase kinase 1
ENSG00000004700,0.0692802450507642,0.0790737965531814,-0.00804331281578649,0.146603802917315,RECQL,RecQ like helicase
ENSG00000004766,-0.0582745186546443,0.120461167821149,-0.131827426503259,0.0152783891939703,VPS50,VPS50 subunit of EARP/GARPII complex
ENSG00000004776,,,,,HSPB6,heat shock protein family B (small) member 6
ENSG00000004777,-0.03736693319039,0.584582124060622,-0.171329455591003,0.0965955892102233,ARHGAP33,Rho GTPase activating protein 33
ENSG00000004779,0.0351964812575933,0.343219402985705,-0.0375848416703466,0.107977804185533,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1
ENSG00000004799,-0.697649684179379,0.360092725172007,-2.19173355994226,0.796434191583504,PDK4,pyruvate dehydrogenase kinase 4
ENSG00000004809,0.146859660219552,0.104575231325965,-0.0304834610532369,0.324202781492342,SLC22A16,solute carrier family 22 member 16
ENSG00000004838,-0.264231826480319,0.377496700702108,-0.851058168534475,0.322594515573836,ZMYND10,zinc finger MYND-type containing 10
ENSG00000004846,0.331589846994427,0.303802005824383,-0.300419410070499,0.963599104059354,ABCB5,ATP binding cassette subfamily B member 5
ENSG00000004848,-0.624489324559032,0.750041436375826,-4.46640791145549,3.21742926233743,ARX,aristaless related homeobox
ENSG00000004864,0.0289717816357694,0.827490145574201,-0.23159730058033,0.289540863851868,SLC25A13,solute carrier family 25 member 13
ENSG00000004866,-0.101369973558128,0.231285231311984,-0.267345259172712,0.0646053120564566,ST7,suppression of tumorigenicity 7
ENSG00000004897,0.014892311079061,0.677867129166323,-0.0553776061709824,0.0851622283291043,CDC27,cell division cycle 27
ENSG00000004939,0.168707410933908,0.334151613656984,-0.17366727742738,0.511082099295196,SLC4A1,solute carrier family 4 member 1 (Diego blood group)
ENSG00000004948,,,,,CALCR,calcitonin receptor
ENSG00000004961,0.0334539270510255,0.365362955258642,-0.0389819684745052,0.105889822576556,HCCS,holocytochrome c synthase
ENSG00000004975,0.0159309647373302,0.80454378961807,-0.110241905914687,0.142103835389347,DVL2,dishevelled segment polarity protein 2
ENSG00000005007,0.0397538270642,0.173196983936413,-0.017453152330751,0.0969608064591511,UPF1,UPF1 RNA helicase and ATPase
