Symbol,Degree,Betweenness,Closeness,Eigenvector,Log2FC
RING1,3,0.0303030303030303,1,6.70605704434036e-16,2.49632366681343
PRRC2A,3,0.196969696969697,0.4,0.373509744109661,1.67433471539948
HLA-A,3,0.242424242424242,0.5,1,1.77940242883498
TRIM26,3,0.181818181818182,0.444444444444444,0.976671576050373,1.40958728063493
RXRB,2,0,0.75,5.41643068965952e-16,1.88978429247943
TCF19,2,0.106060606060606,0.347826086956522,0.497535299735547,-1.39747668973157
PPP1R11,2,0,0.4,0.829589704156847,1.68479789668057
COL11A2,2,0,0.75,4.90058014778718e-16,-1.45526420494666
HLA-B,2,0.227272727272727,0.470588235294118,0.576448589678836,1.24668487412892
TUBB,1,0,0.266666666666667,0.208810693246232,2.54764671991266
C6orf47,1,0,0.296296296296296,0.156758382054934,1.51544201613375
CSNK2B,1,0,0.6,2.70821534482976e-16,-1.24762786359862
VARS2,1,0,0.296296296296296,0.156758382054934,1.45011736054787
