Gene_ID,n_datasets
ENSG00000136826,2
ENSG00000004799,1
ENSG00000004848,1
ENSG00000009709,1
ENSG00000063438,1
ENSG00000065717,1
ENSG00000066735,1
ENSG00000075290,1
ENSG00000077327,1
ENSG00000080007,1
ENSG00000080166,1
ENSG00000081853,1
ENSG00000102290,1
ENSG00000106689,1
ENSG00000108231,1
ENSG00000110455,1
ENSG00000111262,1
ENSG00000112493,1
ENSG00000115252,1
ENSG00000115594,1
ENSG00000118271,1
ENSG00000120051,1
ENSG00000121858,1
ENSG00000123096,1
ENSG00000123146,1
ENSG00000124749,1
ENSG00000127399,1
ENSG00000129009,1
ENSG00000129514,1
ENSG00000130066,1
ENSG00000135638,1
ENSG00000136541,1
ENSG00000136698,1
ENSG00000136997,1
ENSG00000137332,1
ENSG00000138039,1
ENSG00000139155,1
ENSG00000139292,1
ENSG00000139865,1
ENSG00000142700,1
ENSG00000143869,1
ENSG00000144191,1
ENSG00000145569,1
ENSG00000145864,1
ENSG00000146411,1
ENSG00000147246,1
ENSG00000147255,1
ENSG00000153347,1
ENSG00000153820,1
ENSG00000156265,1
ENSG00000162433,1
ENSG00000162543,1
ENSG00000163508,1
ENSG00000163576,1
ENSG00000164099,1
ENSG00000164171,1
ENSG00000164690,1
ENSG00000165061,1
ENSG00000165092,1
ENSG00000165309,1
ENSG00000167646,1
ENSG00000170370,1
ENSG00000170891,1
ENSG00000171811,1
ENSG00000171864,1
ENSG00000174348,1
ENSG00000178297,1
ENSG00000179520,1
ENSG00000179673,1
ENSG00000180440,1
ENSG00000183117,1
ENSG00000185130,1
ENSG00000185404,1
ENSG00000196358,1
ENSG00000197406,1
ENSG00000198121,1
ENSG00000203623,1
ENSG00000204209,1
ENSG00000204305,1
ENSG00000204351,1
ENSG00000204435,1
ENSG00000204469,1
ENSG00000204520,1
ENSG00000204576,1
ENSG00000204618,1
ENSG00000206206,1
ENSG00000206287,1
ENSG00000206315,1
ENSG00000206340,1
ENSG00000206346,1
ENSG00000206376,1
ENSG00000206383,1
ENSG00000206457,1
ENSG00000206466,1
ENSG00000206488,1
ENSG00000206505,1
ENSG00000212866,1
ENSG00000221988,1
ENSG00000223493,1
ENSG00000223766,1
ENSG00000224264,1
ENSG00000224320,1
ENSG00000224398,1
ENSG00000225748,1
ENSG00000226103,1
ENSG00000226384,1
ENSG00000226531,1
ENSG00000227046,1
ENSG00000227801,1
ENSG00000228875,1
ENSG00000229006,1
ENSG00000229061,1
ENSG00000229176,1
ENSG00000229215,1
ENSG00000230332,1
ENSG00000230456,1
ENSG00000230685,1
ENSG00000230700,1
ENSG00000230708,1
ENSG00000230985,1
ENSG00000231116,1
ENSG00000232045,1
ENSG00000232569,1
ENSG00000232632,1
ENSG00000232804,1
ENSG00000232960,1
ENSG00000233210,1
ENSG00000233564,1
ENSG00000234507,1
ENSG00000234549,1
ENSG00000235107,1
ENSG00000235233,1
ENSG00000235307,1
ENSG00000235712,1
ENSG00000235941,1
ENSG00000236251,1
ENSG00000236490,1
ENSG00000237051,1
ENSG00000237071,1
ENSG00000237112,1
ENSG00000238134,1
ENSG00000241132,1
ENSG00000241713,1
ENSG00000242361,1
ENSG00000253305,1
ENSG00000255152,1
ENSG00000262243,1
ENSG00000273703,1
ENSG00000273943,1
ENSG00000274176,1
ENSG00000274542,1
ENSG00000274636,1
ENSG00000274646,1
ENSG00000274941,1
ENSG00000275581,1
ENSG00000275746,1
ENSG00000275979,1
ENSG00000276082,1
ENSG00000276368,1
ENSG00000276537,1
ENSG00000277104,1
ENSG00000277150,1
ENSG00000277429,1
ENSG00000277600,1
ENSG00000277615,1
ENSG00000278174,1
ENSG00000278191,1
ENSG00000278613,1
ENSG00000283284,1
